Time,Section,Index,Line,Word,Misspelled,Triggered
2021-12-31T18:26:50.0536415-05:00,0,72,8,today?,False,False
2021-12-31T18:26:50.0656411-05:00,0,74,8,might,False,False
2021-12-31T18:26:51.1606397-05:00,0,72,8,today?,False,False
2021-12-31T18:26:51.1946442-05:00,0,71,8,donkey,False,False
2021-12-31T18:26:51.5518208-05:00,0,70,8,this,False,False
2021-12-31T18:26:51.8198203-05:00,0,69,8,tie,False,False
2021-12-31T18:26:51.8538206-05:00,0,70,8,this,False,False
2021-12-31T18:26:51.9098209-05:00,0,70,8,this,False,False
2021-12-31T18:26:52.2548191-05:00,0,79,9,sleep.,False,False
2021-12-31T18:26:52.9698197-05:00,0,80,9,“The,False,False
2021-12-31T18:26:53.2508207-05:00,0,81,9,potter,False,False
2021-12-31T18:26:53.6298208-05:00,0,82,9,decided,False,False
2021-12-31T18:26:55.1488209-05:00,0,81,9,potter,False,False
2021-12-31T18:26:55.2038216-05:00,0,79,9,sleep.,False,False
2021-12-31T18:26:55.2828208-05:00,0,78,9,I,False,False
2021-12-31T18:26:55.2938209-05:00,0,79,9,sleep.,False,False
2021-12-31T18:26:55.3048190-05:00,0,78,9,I,False,False
2021-12-31T18:26:55.3158203-05:00,0,79,9,sleep.,False,False
2021-12-31T18:26:55.8868337-05:00,0,86,10,holding,False,False
2021-12-31T18:26:55.9868626-05:00,0,87,10,the,False,False
2021-12-31T18:26:56.8028361-05:00,0,88,10,donkey’s,False,False
2021-12-31T18:26:57.3598352-05:00,0,89,10,ears,False,False
2021-12-31T18:26:58.5448335-05:00,0,88,10,donkey’s,False,False
2021-12-31T18:26:58.8568341-05:00,0,86,10,holding,False,False
2021-12-31T18:26:59.3368353-05:00,0,87,10,the,False,False
2021-12-31T18:26:59.5618357-05:00,0,95,11,not,False,False
2021-12-31T18:26:59.9068332-05:00,0,94,11,would,False,False
2021-12-31T18:27:00.1868323-05:00,0,96,11,run,False,False
2021-12-31T18:27:00.3988322-05:00,0,97,11,away.,False,False
2021-12-31T18:27:01.1128324-05:00,0,96,11,run,False,False
2021-12-31T18:27:01.3808351-05:00,0,98,11,But,False,False
2021-12-31T18:27:02.1738323-05:00,0,99,11,this,False,False
2021-12-31T18:27:02.4088348-05:00,0,97,11,away.,False,False
2021-12-31T18:27:02.4418354-05:00,0,95,11,not,False,False
2021-12-31T18:27:02.4758350-05:00,0,94,11,would,False,False
2021-12-31T18:27:02.9678326-05:00,0,95,11,not,False,False
2021-12-31T18:27:03.1918340-05:00,0,103,12,donkey,False,False
2021-12-31T18:27:03.6598353-05:00,0,102,12,the,False,False
2021-12-31T18:27:04.0618361-05:00,0,103,12,donkey,False,False
2021-12-31T18:27:04.4418447-05:00,0,105,12,comfortable,False,False
2021-12-31T18:27:05.2798338-05:00,0,106,12,nor,False,False
2021-12-31T18:27:05.2938332-05:00,0,105,12,comfortable,False,False
2021-12-31T18:27:05.3238326-05:00,0,106,12,nor,False,False
2021-12-31T18:27:05.5358332-05:00,0,104,12,was,False,False
2021-12-31T18:27:05.5698349-05:00,0,103,12,donkey,False,False
2021-12-31T18:27:05.8608354-05:00,0,102,12,the,False,False
2021-12-31T18:27:06.5638323-05:00,0,103,12,donkey,False,False
2021-12-31T18:27:06.7988345-05:00,0,110,13,able,False,False
2021-12-31T18:27:07.0668759-05:00,0,111,13,to,False,False
2021-12-31T18:27:07.3128337-05:00,0,112,13,take,False,False
2021-12-31T18:27:07.7708351-05:00,0,113,13,rest.,False,False
2021-12-31T18:27:09.0658359-05:00,0,114,13,A,False,False
2021-12-31T18:27:09.3788335-05:00,0,115,13,saint,False,False
2021-12-31T18:27:09.8929203-05:00,0,113,13,rest.,False,False
